   line             element
   5058.4964        Fe I     
   5058.52          Ar I     
   5058.571         Fe IV    
   5058.57230       Ar II    
   5058.581         Ne II    
   5058.59          Al I     
   5058.59          Al I     
   5058.6           S I      
   5058.6           Ca I     
   5058.645         Ne II    
   5058.650         Ni II    
   5058.719         C I      
   5058.73          N III    
   5058.73          Ar I     
   5058.76          Ar I     
   5058.96          N III    
   5058.96          N III    
   5059.1           N I      
   5059.1           N I      
   5059.16          Ar I     
   5059.1629        Ne I     
   5059.200         Ni II    
   5059.264         Ni II    
   5059.41          Ar I     
   5059.439         Ni II    
   5059.48          Ar I     
   5059.572         Ne II    
   5059.577         Ne II    
   5059.582         Ne II    
   5059.656         C I      
   5059.825         Fe II    
   5059.83          Ar I     
   5059.85          C I      
   5059.971         Ni II    
   5060.0792        Ar I     
   5060.14          Ar I     
   5060.257         Fe II    
   5060.3298        Fe I     
   5060.4           O III    
   5060.4           Ca I     
   5060.427         Ni II    
   5060.73          Ar I     
   5060.732         O III    
   5060.96          Ar I     
   5061.078         Ni II    
   5061.09          Fe II    
   5061.250         Ca I     
   5061.406         Ca III   
   5061.5           Ca I     
   5061.5           S I      
   5061.5           S I      
   5061.55          Ar I     
   5061.62          N IV     
   5061.718         Fe II    
   5061.86          Ar I     
   5062.03695       Ar II    
   5062.11          Ar I     
   5062.15          Ar I     
   5062.216         Ne II    
   5062.267         Ni II    
   5062.2993        Fe II    
   5062.35          N II     
   5062.35          N II     
   5062.39          Ar I     
   5062.42          N III    
   5062.42          N III    
   5062.50          Ar I     
   5062.6443        Fe II    
   5062.708         Ar I     
   5062.73          Ar I     
   5062.75          Ar III   
   5062.89          O I      
   5062.935         Fe II    
   5063.0           Ca I     
   5063.023         C I      
   5063.1           S I      
   5063.1           S I      
   5063.1           S I      
   5063.203         Ni II    
   5063.3518        Fe I     
   5063.421         Fe III   
   5063.47          Ar I     
   5063.500         Ne II    
   5063.503         Fe III   
   5063.560         Ca I     
   5063.623         Ne II    
   5063.657         O III    
   5063.7           Ca I     
   5063.721         Ca III   
   5063.73          Ar I     
   5063.905         N II     
   5063.91          Ar I     
   5063.97          Ar I     
   5063.980         Ar I     
   5063.999         Ca I     
   5064.0           Ca I     
   5064.147         C I      
   5064.19          O I      
   5064.2696        Ar II    
   5064.35          O I      
   5064.35          O I      
   5064.55          Ar I     
   5064.72          C I      
   5064.72          Ar I     
   5064.816         Ni II    
   5064.83          O I      
   5064.83          O I      
   5064.83          O I      
   5064.86          Ar I     
   5064.911         Ni II    
   5065.0280        Fe II    
   5065.097         Fe II    
   5065.1150        Fe I     
   5065.1660        Fe I     
   5065.1927        Fe I     
   5065.20          O I      
   5065.20          O I      
   5065.20          O I      
   5065.28          C I      
   5065.3           S I      
   5065.3           S I      
   5065.3903        Fe II    
   5065.431         Fe II    
   5065.5           Ca I     
   5065.72          Al I     
   5065.72          Al I     
   5065.73          Ar I     
   5065.781         Ni II    
   5065.804         Mg I     
   5065.845         Ni II    
   5065.981         Ni II    
   5065.992         Fe II    
   5066.01          Ar I     
   5066.056         Ni II    
   5066.08          O I      
   5066.08          O I      
   5066.1           O III    
   5066.10          Ca III   
   5066.187         S II     
   5066.27331       Ar II    
   5066.328         Ni II    
   5066.4           Ca I     
   5066.46          N II     
   5066.513         Ni II    
   5066.562         Fe III   
   5066.6706        Fe I     
   5066.75          N III    
   5066.811         Ni II    
   5066.83          C IV     
   5066.83          C IV     
   5066.88          N III    
   5067.01          Ar I     
   5067.04          N V      
   5067.1496        Fe I     
   5067.187         Ca I     
